Handle;Title;Body (HTML);Vendor;Product Category;Type;Tags;Published;Option1 Name;Option1 Value;Variant SKU;Variant Price;Variant Inventory Qty;Image Src;Image Position;Image Alt Text;Status
womens-astoria-west-sandal-naval-academy-reef-waters;KEEN Astoria West Sandal Naval Academy/Reef Waters (Women's);Our original hybrid sandal, with lift and a women's-specific fit. Designed by women, for women to go trail to town in the same sandal.;KEEN;Apparel & Accessories > Shoes;Footwear;ASTORIA_WEST_SANDAL;;;;;;;;;;
womens-astoria-west-sandal-naval-academy-reef-waters;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0607/3263/7348/files/17151a97f139bd1fd38c3103df3829e88cb78985.jpg?v=1739289778;2;;
womens-astoria-west-sandal-naval-academy-reef-waters;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0607/3263/7348/files/ae6fde75e4e0fcb39079c9f0778b7ca7128c86ec.jpg?v=1739289778;3;;
womens-astoria-west-sandal-naval-academy-reef-waters;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0607/3263/7348/files/fc01621d5735375b3b1f0ac69062864edd63f409.jpg?v=1739289778;4;;
womens-astoria-west-sandal-naval-academy-reef-waters;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0607/3263/7348/files/8e84dad02e57674ae8454e4c72431787c20fa835.jpg?v=1739289778;5;;
womens-astoria-west-sandal-naval-academy-reef-waters;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0607/3263/7348/files/0b196e22a3550b73049f62b65f74c960ffaa52ca.jpg?v=1739289778;6;;
womens-astoria-west-sandal-naval-academy-reef-waters;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0607/3263/7348/files/AstoriaWestSandalLifestylePDPDoublewide_add51be8-ff29-485f-bc2f-b4c864493044.jpg?v=1739289778;7;;
womens-astoria-west-sandal-naval-academy-reef-waters;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0607/3263/7348/files/AstoriaWestSandalLifestylePDPSingleLeft_c76272b2-0ab9-47b2-a397-45038ced17f7.jpg?v=1739289778;8;;
womens-astoria-west-sandal-naval-academy-reef-waters;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0607/3263/7348/files/AstoriaWestSandalLifestylePDPSingleRight_ec5981c9-baa3-410c-9447-75fe27a3333a.jpg?v=1739289778;9;;
mens-hightrail-mid-waterproof-brindle-oak-buff;KEEN Hightrail Mid Wp Brindle/Oak Buff (Men's);Fast & light meets rugged & supportive. Experience a blend of athletic performance and outdoor durability, with traction, stability, and waterproof protection for any trail.;KEEN;Apparel & Accessories > Shoes;Footwear;HIGHTRAIL_MID_WP;;;;;;;;;;
mens-hightrail-mid-waterproof-brindle-oak-buff;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0607/3263/7348/files/dc7fdfe1ede93560be3776fff171c55322ce2481.jpg?v=1764707559;2;;
mens-hightrail-mid-waterproof-brindle-oak-buff;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0607/3263/7348/files/97d5e34a8fc0ab06c4eab995ec7890675cb42ded.jpg?v=1764707559;3;;
mens-hightrail-mid-waterproof-brindle-oak-buff;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0607/3263/7348/files/e04bb8b635316d8c69b117620c784027d497519f_191ca15d-2ed0-491b-9d75-6671fa35f512.jpg?v=1764707559;4;;
