material;modelo;color;genero;categoria;descripcion;por_pedir;en_bodega;en_transito
1029802;KS86;BIRCH/STAR WHITE;WOMEN;;KS86 W-BIRCH/STAR WHITE;664;2;0
1028997;TARGHEE IV WP;BISON/BLACK;MEN;;TARGHEE IV WP M-BISON/BLACK;662;0;0
1027160;ELLE BACKSTRAP;BRINDLE/BIRCH;WOMEN;;ELLE BACKSTRAP W-BRINDLE/BIRCH;650;11;0
1030988;ELLE BACKSTRAP WIDE;BRINDLE/BIRCH;WOMEN;;ELLE BACKSTRAP WIDE W-BRINDLE/BIRCH;643;0;0
1022427;TARGHEE III SANDAL;BISON/MULCH;MEN;;TARGHEE III SANDAL M-BISON/MULCH;640;2;0
1022620;ELLE BACKSTRAP;BLACK;WOMEN;;ELLE BACKSTRAP W-BLACK;639;0;0
1023594;ASTORIA WEST SANDAL;BLACK/GREY;WOMEN;;ASTORIA WEST SANDAL W-BLACK/GREY;619;0;0
1032054;TARGHEE APEX MID WP;DARK OLIVE/KHAKI;MEN;;TARGHEE APEX MID WP M-DARK OLIVE/KHAKI;618;0;0
1030348;HIGHTRAIL MID WP;SAFARI/CHIPMUNK;WOMEN;;HIGHTRAIL MID WP W-SAFARI/CHIPMUNK;617;0;0
1032515;TARGHEE APEX MID WP;ALLOY/BLACK;MEN;;TARGHEE APEX MID WP M-ALLOY/BLACK;614;0;0
1032049;TARGHEE APEX MID WP;LILY PAD/FIG;WOMEN;;TARGHEE APEX MID WP W-LILY PAD/FIG;604;0;0
1030141;ELLE BACKSTRAP;CORNSTALK/BLACK;WOMEN;;ELLE BACKSTRAP W-CORNSTALK/BLACK;603;0;0
1031647;TARGHEE IV OXFORD;BLACK;MEN;;TARGHEE IV OXFORD M-BLACK;601;0;0
1032524;ELLE BACKSTRAP WIDE;CORNSTALK/BLACK;WOMEN;;ELLE BACKSTRAP WIDE W-CORNSTALK/BLACK;585;0;0
1031958;WHISPER LITE;SAFARI/BIRCH;WOMEN;;WHISPER LITE W-SAFARI/BIRCH;583;0;0
1031980;WHISPER LATTICE;LILY PAD/PLAZA TAUPE;WOMEN;;WHISPER LATTICE W-LILY PAD/PLAZA TAUPE;581;0;0
1028988;TARGHEE IV MID WP;BISON/BLACK;MEN;;TARGHEE IV MID WP M-BISON/BLACK;579;0;0
1031745;HYPERPORT H2;NAVAL ACADEMY/STEEL GREY;MEN;;HYPERPORT H2 M-NAVAL ACADEMY/STEEL GREY;573;3;0
1031901;ELLE MILA BACKSTRAP;BIRCH/BIRCH;WOMEN;;ELLE MILA BACKSTRAP W-BIRCH/BIRCH;572;0;0
1030987;ELLE BACKSTRAP WIDE;BLACK;WOMEN;;ELLE BACKSTRAP WIDE W-BLACK;571;0;0
1022423;TARGHEE III OPEN TOE SANDAL;BISON/MULCH;MEN;;TARGHEE III OPEN TOE SANDAL M-BISON/MULC;571;2;0
1032047;TARGHEE APEX MID WP;VAPOR/BALLAD BLUE;WOMEN;;TARGHEE APEX MID WP W-VAPOR/BALLAD BLUE;564;0;0
1031163;TARGHEE IV SLIP-ON;JAVA/BLACK;MEN;;TARGHEE IV SLIP-ON M-JAVA/BLACK;562;3;0
1031981;WHISPER LATTICE;PLAZA TAUPE/SILVER BIRCH;WOMEN;;WHISPER LATTICE W-PLAZA TAUPE/SILVER BIR;555;0;0
1030622;KNX T-TOE;BLACK/BLACK;MEN;;KNX T-TOE M-BLACK/BLACK;545;0;0
1032225;BALI TG LTR;CHIPMUNK/BIRCH;WOMEN;;BALI TG LTR W-CHIPMUNK/BIRCH;538;0;0
1016733;ROSE SANDAL;GARGOYLE/RAVEN;WOMEN;;ROSE SANDAL W-GARGOYLE/RAVEN;531;0;0
1031824;KS86 LEA;BIRCH/STAR WHITE;MEN;;KS86 LEA M-BIRCH/STAR WHITE;530;0;0
1031648;TARGHEE IV OXFORD;JAVA/BLACK;MEN;;TARGHEE IV OXFORD M-JAVA/BLACK;530;0;0
1032226;BALI TG LTR;LILY PAD/STEEL GREY;WOMEN;;BALI TG LTR W-LILY PAD/STEEL GREY;529;0;0
1031310;KOSA OXFORD;BLACK/BLACK;WOMEN;;KOSA OXFORD W-BLACK/BLACK;527;0;0
1032292;HIGHTRAIL MID WP;BRINDLE/PINK LEMONADE;WOMEN;;HIGHTRAIL MID WP W-BRINDLE/PINK LEMONADE;526;0;0
1032789;UNEEK TREKKER;BIRCH/PEACH TREE;WOMEN;;UNEEK TREKKER W-BIRCH/PEACH TREE;524;0;0
1032118;NEWPORT H2;TRI-BLOCK VAPOR;WOMEN;;NEWPORT H2 W-TRI-BLOCK VAPOR;523;0;0
1032799;JASPER ZIONIC WP;STEEL GREY/BLACK;WOMEN;;JASPER ZIONIC WP W-STEEL GREY/BLACK;518;0;0
1032669;JASPER ZIONIC;BRINDLE/BIRCH;WOMEN;;JASPER ZIONIC W-BRINDLE/BIRCH;517;0;0
1032798;JASPER ZIONIC WP;BLACK/VIOLET QUARTZ;WOMEN;;JASPER ZIONIC WP W-BLACK/VIOLET QUARTZ;513;0;0
1008417;TARGHEE II WP;CASCADE BROWN/GOLDEN YELLOW;MEN;;TARGHEE II WP M-CASCADE BROWN/GOLDEN YEL;513;0;0
1015704;TARGHEE II WP WIDE;CASCADE BROWN/GOLDEN YELLOW;MEN;;TARGHEE II WP WIDE M-CASCADE BROWN/GOLDE;511;0;0
1030626;KNX T-TOE;BIRCH/BIRCH;WOMEN;;KNX T-TOE W-BIRCH/BIRCH;508;0;0
1031173;TARGHEE IV OXFORD WIDE;JAVA/BLACK;MEN;;TARGHEE IV OXFORD WIDE M-JAVA/BLACK;505;0;0
1031773;TARGHEE IV MID WP;JAVA/BRINDLE;MEN;;TARGHEE IV MID WP M-JAVA/BRINDLE;501;0;0
1032554;JASPER MERKO;BLACK/BLACK;MEN;;JASPER MERKO M-BLACK/BLACK;498;0;0
